Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
141,140,116,"» Cole, Ben (GBR)",,,1032,18-39,01:13:32,02:37:51,,2014
2084,140,96,"» Hodson, Emma (GBR)",,,332,18-39,01:31:35,03:08:03,,2014
2088,141,97,"» Loosemore, Georgina Coralie (GBR)",,,19338,18-39,01:31:31,03:08:05,,2014
142,141,117,"» Richmond, Aaron (GBR)",,,633,18-39,01:14:59,02:37:52,,2014
143,142,18,"» Lunn, Paul (GBR)",,,875,40-44,01:18:34,02:37:57,,2014
2095,142,98,"» Matson, Robyn (GBR)",,,454,18-39,01:31:23,03:08:12,,2014
144,143,118,"» Pickburn, Alastair (GBR)",,,645,18-39,01:18:16,02:38:00,,2014
2109,143,28,"» Wilkinson, Carolyn Sian (GBR)",,,470,40-44,01:30:19,03:08:23,,2014
145,144,119,"» Evans, Benjamin (GBR)",,,784,18-39,01:16:25,02:38:01,,2014
2140,144,99,"» Stevenson, Emma (GBR)",,,28296,18-39,01:31:19,03:08:39,,2014
2156,145,29,"» Doherty, claire (GBR)",,,542,40-44,01:32:12,03:08:45,,2014
